icdo3_code,name
95600,9560/0 Schwannoma
95400,9540/0 Neurofibroma
95500,9550/0 Plexiform neurofibroma
95710,9571/0 Perineurioma
95630,9563/0  Hybrid nerve sheath tumor
95403,9540/3 Malignant melanotic nerve sheath tumor
95403,9540/3 Malignant peripheral nerve sheath tumor
86933,8693/3 Cauda equina neuroendocrine tumor (previously paraganglioma)
95300,9530/0 Meningioma
88151,8815/1 Solitary fibrous tumor
91210,9121/0 Cavernous hemangioma
91230,9123/0 Arteriovenous malformation
91310,9131/0 Capillary hemangioma
91611,9161/1 Hemangioblastoma
89103,8910/3 Embryonal rhabdomyosarcoma
89203,8920/3 Alveolar rhabdomyosarcoma
89013,"8901/3 Rhabdomyosarcoma, pleomorphic-type"
89123,8912/3 Spindle cell rhabdomyosarcoma
98673,9867/3 CIC-rearranged sarcoma
94803,"9480/3 Primary intracranial sarcoma, DICER1-mutant"
93643,9364/3 Ewing sarcoma
92403,9240/3 Mesenchymal chondrosarcoma
92203,9220/3 Chondrosarcoma
92433,9243/3 Dedifferentiated chondrosarcoma
93703,9370/3 Chordoma
87280,8728/0 Meningeal melanocytosis
87283,8728/3 Meningeal melanomatosis
87281,8728/1 Meningeal melanocytoma
87203,8720/3 Meningeal melanoma
96803,9680/3 Primary diffuse large B-cell lymphoma of the CNS
97661,9766/1 Lymphomatoid granulomatosis
97123,9712/3 Intravascular large B-cell lymphoma
96993,9699/3 MALT lymphoma of the dura
97143,9714/3 Anaplastic large cell lymphoma (ALK+/ALK_)
97023,9702/3 T-cell lymphoma
97193,9719/3 NK/T-cell lymphoma
97493,9749/3 Erdheim-Chester disease
97493,9749/3 Rosai-Dorfman disease
97491,9749/1 Juvenile xanthogranuloma
97511,9751/1 Langerhans cell histiocytosis
97553,9755/3 Histiocytic sarcoma
90800,9080/0 Mature teratoma
90803,9080/3 Immature teratoma
90843,9084/3 Teratoma with somatic-type malignancy
90643,9064/3 Germinoma
90703,9070/3 Embryonal carcinoma
90713,9071/3 Yolk sac tumor
91003,9100/3 Choriocarcinoma
90853,9085/3 Mixed germ cell tumor
93511,9351/1 Adamantinomatous craniopharyngioma
93521,9352/1 Papillary craniopharyngioma
94321,9432/1 Pituicytoma
95820,9582/0 Granular cell tumor of the sellar region
82900,8290/0 Spindle cell oncocytoma
82723,8272/3 Pituitary adenoma / pituitary neuroendocrine tumor (PitNET)
82733,8273/3 Pituitary blastoma
,"Astrocytoma, IDH-mutant"
,"Oligodendroglioma, IDH-mutant and 1p/19q-codeleted"
,Diffuse glioneuronal tumor with oligodendroglioma-like features and nuclear clusters
,Cribriform neuroepithelial tumor 
,"Desmoplastic myxoid tumor of the pineal region, SMARCB1-mutant "
,Hemangioma
,"Intracranial mesenchymal tumor, FET::CREB fusion-positive "
,Immunodeficiency-associated CNS lymphoma
,Other low-grade B-cell lymphomas of the CNS
