Value,strHistologyBehaviour,Preferred,label,,
8004,3,FALSE,"Tumor, fusiform cell type, malignant",,
8004,3,FALSE,"Tumor, malignant, fusiform cell type",,
8004,3,FALSE,"Tumor, malignant, spindle cell type",,
8004,3,FALSE,"Tumor, spindle cell type, malignant",,
8005,0,TRUE,"Clear cell tumor, NOS",,
8005,0,FALSE,"Tumor, clear cell, NOS",,
8005,3,TRUE,"Malignant tumor, clear cell type",,
8005,3,FALSE,Clear cell type malignant tumor,,
8005,3,FALSE,"Tumor, clear cell type, malignant",,
8005,3,FALSE,"Tumor, malignant, clear cell type",,
8010,0,TRUE,"Epithelial tumor, benign",,
8010,0,FALSE,"Tumor, epithelial, benign",,
8010,2,TRUE,"Carcinoma in situ, NOS",,
8010,2,FALSE,"Carcinoma, intraepithelial, NOS",,
8010,2,FALSE,"In situ carcinoma, NOS",,
8010,2,FALSE,"Intraepithelial carcinoma, NOS",,
8010,3,TRUE,"Carcinoma, NOS",,
8010,3,FALSE,"Carcinoma, urachal (C65.9, C66.9, C67._, C68._) [2018+]",,
8010,3,FALSE,"Epithelial tumor, malignant",,
8010,3,FALSE,"Tumor, epithelial, malignant",,
8010,3,FALSE,"Urachal carcinoma (C65.9, C66.9, C67._, C68._) [2018+]",,
8010,6,TRUE,"Carcinoma, metastatic, NOS",,
8010,6,FALSE,"Carcinoma, NOS, metastatic",,
8010,6,FALSE,"Carcinoma, secondary",,
8010,6,FALSE,"Metastatic carcinoma, NOS",,
8010,6,FALSE,Secondary carcinoma,,
8010,9,TRUE,Carcinomatosis,,
8011,0,TRUE,"Epithelioma, benign",,
8011,3,TRUE,"Epithelioma, malignant",,
8011,3,FALSE,"Epithelioma, NOS",,
8012,3,TRUE,"Large cell carcinoma, NOS",,
8012,3,FALSE,"Carcinoma, large cell, NOS",,
8013,3,TRUE,Large cell neuroendocrine carcinoma,,
8013,3,FALSE,"Carcinoma, combined large cell neuroendocrine (C34._, C37.9) [2018+]",,
8013,3,FALSE,"Carcinoma, large cell neuroendocrine combined (C34._, C37.9) [2018+]",,
8013,3,FALSE,"Carcinoma, large cell, neuroendocrine",,
8013,3,FALSE,"Carcinoma, neuroendocrine, large cell",,
8013,3,FALSE,"Carcinoma, neuroendocrine, large cell combined (C34._, C37.9) [2018+]",,
8013,3,FALSE,"Combined large cell neuroendocrine carcinoma (C34._, C37.9) [2018+]",,
8013,3,FALSE,"Large cell carcinoma, neuroendocrine",,
8013,3,FALSE,"Large cell carcinoma, neuroendocrine combined (C34._, C37.9) [2018+]",,
8013,3,FALSE,"Neuroendocrine carcinoma, combined large cell (C34._, C37.9) [2018+]",,
8013,3,FALSE,"Neuroendocrine carcinoma, large cell",,
8014,3,TRUE,Large cell carcinoma with rhabdoid phenotype,,
8014,3,FALSE,"Carcinoma, large cell, with rhabdoid phenotype",,
8014,3,FALSE,"Phenotype, large cell carcinoma with rhabdoid",,
8014,3,FALSE,"Rhabdoid phenotype, large cell carcinoma with",,
8015,3,TRUE,Glassy cell carcinoma,,
8015,3,FALSE,"Carcinoma, glassy cell",,
8020,3,TRUE,"Carcinoma, undifferentiated, NOS",,
8020,3,FALSE,Anaplastic undifferentiated carcinoma (C73.9) [2021+],,
8020,3,FALSE,"Carcinoma, anaplastic undifferentiated (C73.9) [2021+]",,
8020,3,FALSE,"Carcinoma, dedifferentiated [2021+]",,
8020,3,FALSE,"Carcinoma, poorly differentiated, NOS [2021+]",,
8020,3,FALSE,Dedifferentiated carcinoma [2021+],,
8020,3,FALSE,"Poorly differentiated carcinoma, NOS [2021+]",,
8020,3,FALSE,"Undifferentiated carcinoma, NOS",,
8021,3,TRUE,"Carcinoma, anaplastic, NOS",,
8021,3,FALSE,"Anaplastic carcinoma, NOS",,
8022,3,TRUE,Pleomorphic carcinoma,,
8022,3,FALSE,"Carcinoma, pleomorphic",,
8023,3,TRUE,"NUT carcinoma (C30.0, C31.9, C34._) [2018+]",,
8023,3,FALSE,"Carcinoma, midline, of children and young adults with NUT rearrangement (C30.0, C31.9, C34._) [2018+]",,
8023,3,FALSE,"Carcinoma, NUT (C30.0, C31.9, C34._) [2018+]",,
8023,3,FALSE,"Carcinoma, NUT midline (C30.0, C31.9, C34._) [2018+]",,
8023,3,FALSE,"Midline carcinoma of children and young adults with NUT rearrangement (C30.0, C31.9, C34._) [2018+]",,
8023,3,FALSE,"NUT midline (C30.0, C31.9, C34._) [2018+]",,
8030,3,TRUE,Giant cell and spindle cell carcinoma,,
8030,3,FALSE,"Carcinoma, giant cell and spindle cell",,
8030,3,FALSE,"Carcinoma, spindle cell and giant cell",,
8030,3,FALSE,Spindle cell carcinoma and giant cell carcinoma,,
8031,3,TRUE,Giant cell carcinoma,,
8031,3,FALSE,"Carcinoma, giant cell",,
8032,3,TRUE,"Spindle cell carcinoma, NOS",,
8032,3,FALSE,"Carcinoma, spindle cell, NOS",,
8033,3,TRUE,Pseudosarcomatous carcinoma,,
8033,3,FALSE,"Carcinoma, pseudosarcomatous",,
8033,3,FALSE,"Carcinoma, sarcomatoid",,
8033,3,FALSE,Sarcomatoid carcinoma,,
8034,3,TRUE,Polygonal cell carcinoma,,
8034,3,FALSE,"Carcinoma, polygonal cell",,
8035,3,TRUE,Carcinoma with osteoclast-like giant cells,,
8035,3,FALSE,"Giant cells, carcinoma with osteoclast-like",,
8035,3,FALSE,"Osteoclast-like giant cells, carcinoma with",,
8040,0,TRUE,"Tumorlet, benign",,
8040,1,TRUE,"Tumorlet, NOS",,
8041,3,TRUE,"Small cell carcinoma, NOS",,
8041,3,FALSE,"Carcinoma, neuroendocrine, high grade (C54._, C55.9) [2018+]",,
8041,3,FALSE,"Carcinoma, neuroendocrine, poorly differentiated [OF BREAST] (C50._) [2018+]",,
8041,3,FALSE,"Carcinoma, reserve cell",,
8041,3,FALSE,"Carcinoma, round cell",,
8041,3,FALSE,"Carcinoma, small cell, neuroendocrine",,
8041,3,FALSE,"Carcinoma, small cell, NOS",,
8041,3,FALSE,"Carcinoma, small cell, pulmonary type (C56.9) [2018+]",,
8041,3,FALSE,"High-grade neuroendocrine carcinoma (C54._, C55.9) [2018+]",,
8041,3,FALSE,"Neuroendocrine carcinoma, high grade  (C54._, C55.9) [2018+]",,
8041,3,FALSE,"Neuroendocrine carcinoma, poorly differentiated [OF BREAST] (C50._) [2018+]",,
8041,3,FALSE,"Neuroendocrine carcinoma, small cell",,
8041,3,FALSE,Reserve cell carcinoma,,
8041,3,FALSE,Round cell carcinoma,,
8041,3,FALSE,Small cell carcinoma pulmonary type (C56.9) [2018+],,
8041,3,FALSE,"Small cell carcinoma, neuroendocrine",,
8041,3,FALSE,Small cell neuroendocrine carcinoma,,
8042,3,TRUE,Oat cell carcinoma (C34._),,
8042,3,FALSE,"Carcinoma, oat cell (C34._)",,
8043,3,TRUE,"Small cell carcinoma, fusiform cell",,
8043,3,FALSE,"Carcinoma, small cell, fusiform cell",,
8043,3,FALSE,"Fusiform cell, small cell carcinoma",,
8044,3,TRUE,"Small cell carcinoma, intermediate cell",,
8044,3,FALSE,"Carcinoma, small cell, hypercalcemic type (C56.9) [2018+]",,
8044,3,FALSE,"Carcinoma, small cell, intermediate cell",,
8044,3,FALSE,"Intermediate cell, small cell carcinoma",,
8044,3,FALSE,"Small cell carcinoma, hypercalcemic type (C56.9) [2018+]",,
8045,3,TRUE,Combined small cell carcinoma,,
8045,3,FALSE,"Adenocarcinoma, combined small cell-adenocarcinoma",,
8045,3,FALSE,"Carcinoma, combined small cell",,
8045,3,FALSE,"Carcinoma, combined small cell-large cell",,
8045,3,FALSE,"Carcinoma, combined small cell-squamous cell",,
8045,3,FALSE,"Carcinoma, large cell-small cell, combined",,
8045,3,FALSE,"Carcinoma, mixed small cell",,
8045,3,FALSE,"Carcinoma, small cell-large cell, combined",,
8045,3,FALSE,Combined small cell-adenocarcinoma,,
8045,3,FALSE,Combined small cell-large cell carcinoma,,
8045,3,FALSE,Combined small cell-squamous cell carcinoma,,
8045,3,FALSE,"Large cell-small cell carcinoma, combined",,
8045,3,FALSE,Mixed small cell carcinoma,,
8045,3,FALSE,"Small cell carcinoma, combined",,
8045,3,FALSE,"Small cell carcinoma, mixed",,
8045,3,FALSE,"Small cell-adenocarcinoma, combined",,
8045,3,FALSE,"Small cell-large cell carcinoma, combined",,
8045,3,FALSE,"Small cell-squamous cell carcinoma, combined",,
8045,3,FALSE,"Squamous cell-small cell carcinoma, combined",,
8046,3,TRUE,Non-small cell carcinoma (C34._),,
8046,3,FALSE,"Carcinoma, non-small cell (C34._)",,
8050,0,TRUE,"Papilloma, NOS (except papilloma of bladder M-8120/1)",,
8050,2,TRUE,Papillary carcinoma in situ,,
8050,2,FALSE,"Carcinoma in situ, papillary",,
8050,2,FALSE,"Carcinoma, papillary, in situ",,
8050,2,FALSE,"In situ carcinoma, papillary",,
8050,2,FALSE,In situ papillary carcinoma,,
8050,3,TRUE,"Papillary carcinoma, NOS",,
8050,3,FALSE,"Carcinoma, papillary, NOS",,
8051,0,TRUE,Verrucous papilloma,,
8051,0,FALSE,"Papilloma, verrucous",,
8051,3,TRUE,"Warty carcinoma [2018+ CASES FOR C60._, USE 8054/3.  ALL OTHER SITES USE 8051/3 FOR ALL YEARS]",,
8051,3,FALSE,"Carcinoma, condylomatous [2018+ CASES FOR C60._, USE 8054/3.  ALL OTHER SITES USE 8051/3 FOR ALL YEARS]",,
8051,3,FALSE,"Carcinoma, epidermoid, verrucous",,
8051,3,FALSE,"Carcinoma, squamous cell, verrucous",,
8051,3,FALSE,"Carcinoma, verrucous, epidermoid",,
8051,3,FALSE,"Carcinoma, verrucous, NOS",,
8051,3,FALSE,"Carcinoma, verrucous, squamous cell",,
8051,3,FALSE,"Carcinoma, warty [2018+ CASES FOR C60._, USE 8054/3.  ALL OTHER SITES USE 8051/3 FOR ALL YEARS]",,
8051,3,FALSE,"Condylomatous carcinoma [2018+ CASES FOR C60._, USE 8054/3.  ALL OTHER SITES USE 8051/3 FOR ALL YEARS]",,
8051,3,FALSE,"Epidermoid carcinoma, verrucous",,
8051,3,FALSE,"Squamous cell carcinoma, verrucous",,
8051,3,FALSE,"Verrucous carcinoma, epidermoid",,
8051,3,FALSE,"Verrucous carcinoma, NOS",,
8051,3,FALSE,"Verrucous carcinoma, squamous cell",,
8051,3,FALSE,Verrucous epidermoid carcinoma,,
8051,3,FALSE,Verrucous squamous cell carcinoma,,
8052,0,TRUE,"Squamous cell papilloma, NOS",,
8052,0,FALSE,Keratotic papilloma,,
8052,0,FALSE,"Papilloma, keratotic",,
8052,0,FALSE,"Papilloma, squamous",,
8052,0,FALSE,"Papilloma, squamous cell, NOS",,
8052,0,FALSE,Squamous papilloma,,
8052,2,TRUE,"Papillary squamous cell carcinoma, non-invasive",,
8052,2,FALSE,"Carcinoma, papillary squamous cell, in situ",,
8052,2,FALSE,"Carcinoma, papillary squamous cell, non-invasive",,
8052,2,FALSE,"Carcinoma, squamous cell papillary, non-invasive",,
8052,2,FALSE,In situ papillary squamous cell carcinoma,,
8052,2,FALSE,"In situ squamous cell carcinoma, papillary",,
8052,2,FALSE,"Non-invasive carcinoma, papillary squamous cell",,
8052,2,FALSE,"Papillary carcinoma in situ, squamous cell",,
8052,2,FALSE,"Papillary carcinoma, squamous cell, non-invasive",,
8052,2,FALSE,Papillary squamous cell carcinoma in situ,,
8052,2,FALSE,"Squamous cell carcinoma, papillary, in situ",,
8052,2,FALSE,"Squamous cell carcinoma, papillary, non-invasive",,
8052,3,TRUE,Papillary squamous cell carcinoma,,
8052,3,FALSE,"Carcinoma, epidermoid, papillary",,
8052,3,FALSE,"Carcinoma, papillary epidermoid",,
8052,3,FALSE,"Carcinoma, papillary squamous cell",,
8052,3,FALSE,"Carcinoma, papillary, epidermoid",,
8052,3,FALSE,"Carcinoma, squamous cell, papillary",,
8052,3,FALSE,"Epidermoid carcinoma, papillary",,
8052,3,FALSE,"Papillary carcinoma, epidermoid",,
8052,3,FALSE,"Papillary carcinoma, squamous cell",,
8052,3,FALSE,Papillary epidermoid carcinoma,,
8052,3,FALSE,"Squamous cell carcinoma, papillary",,
8053,0,TRUE,"Squamous cell papilloma, inverted",,
8053,0,FALSE,"Inverted papilloma, squamous cell",,
8053,0,FALSE,"Papilloma, inverted squamous cell",,
8053,0,FALSE,"Papilloma, squamous cell, inverted",,
8054,3,TRUE,"Warty carcinoma (C60.0-C60.2, C60.9) [2018+.  PRE-2018 CASES FOR C60, USE 8051/3.  ALL OTHER SITES USE 8051/3 FOR ALL YEARS]",,
8054,3,FALSE,"Carcinoma, condylomatous (C60.0-C60.2, C60.9) [2018+. PRE-2018 CASES FOR C60, USE 8051/3.  ALL OTHER SITES USE 8051/3 FOR ALL YEARS]",,
8054,3,FALSE,"Carcinoma, warty (C60.0-C60.2, C60.9) [2018+. PRE-2018 CASES FOR C60, USE 8051/3.  ALL OTHER SITES USE 8051/3 FOR ALL YEARS]",,
8054,3,FALSE,"Carcinoma, warty-basaloid [2021+]",,
8054,3,FALSE,"Condylomatous carcinoma (C60.0-C60.2, C60.9) [2018+. PRE-2018 CASES FOR C60, USE 8051/3.  ALL OTHER SITES USE 8051/3 FOR ALL YEARS]",,
8054,3,FALSE,Warty-basaloid carcinoma [2021+],,
8060,0,TRUE,Squamous papillomatosis,,
8060,0,FALSE,"Papillomatosis, NOS",,
8060,0,FALSE,"Papillomatosis, squamous",,
8070,2,TRUE,"Squamous cell carcinoma in situ, NOS",,
8070,2,FALSE,"Carcinoma in situ, epidermoid, NOS",,
8070,2,FALSE,"Carcinoma in situ, squamous cell, NOS",,
8070,2,FALSE,"Carcinoma, epidermoid, in situ, NOS",,
8070,2,FALSE,"Carcinoma, intraepidermal, NOS",,
8070,2,FALSE,"Carcinoma, intraepithelial, squamous cell",,
8070,2,FALSE,"Carcinoma, squamous cell, in situ, NOS",,
8070,2,FALSE,"Carcinoma, squamous cell, intraepithelial",,
8070,2,FALSE,"Epidermoid carcinoma in situ, NOS",,
8070,2,FALSE,"In situ carcinoma, epidermoid, NOS",,
8070,2,FALSE,"In situ carcinoma, squamous cell, NOS",,
8070,2,FALSE,"In situ epidermoid carcinoma, NOS",,
8070,2,FALSE,"In situ squamous cell carcinoma, NOS",,
8070,2,FALSE,"Intraepidermal carcinoma, NOS",,
8070,2,FALSE,Intraepithelial squamous cell carcinoma,,
8070,2,FALSE,"Squamous cell carcinoma, intraepithelial",,
8070,3,TRUE,"Squamous cell carcinoma, NOS",,
8070,3,FALSE,"Carcinoma, epidermoid, NOS",,
8070,3,FALSE,"Carcinoma, squamous",,
8070,3,FALSE,"Carcinoma, squamous cell, NOS",,
8070,3,FALSE,"Epidermoid carcinoma, NOS",,
8070,3,FALSE,"Epithelioma, squamous cell",,
8070,3,FALSE,Squamous carcinoma,,
8070,3,FALSE,Squamous cell epithelioma,,
8070,6,TRUE,"Squamous cell carcinoma, metastatic, NOS",,
8070,6,FALSE,"Carcinoma, squamous cell, metastatic, NOS",,
8070,6,FALSE,"Carcinoma, squamous cell, NOS, metastatic",,
8070,6,FALSE,"Metastatic squamous cell carcinoma, NOS",,
8071,2,TRUE,Differentiated penile [or vulvar] intraepithelial neoplasia (C60._  [or C51._]) [2018+ CASES ONLY],,
8071,2,FALSE,Differentiated penile intraepithelial neoplasia (C60._) [2018+ CASES ONLY],,
8071,2,FALSE,Differentiated-type vulvar intraepithelial neoplasia (C51._) [2018+ CASES ONLY],,
8071,2,FALSE,"Intraepithelial neoplasia, penile differentiated (C60._) [2018+ CASES ONLY]",,
8071,2,FALSE,"Intraepithelial neoplasia, vulvar differentiated-type (C51._) [2018+ CASES ONLY]",,
8071,3,TRUE,"Squamous cell carcinoma, keratinizing, NOS",,
8071,3,FALSE,"Carcinoma, epidermoid, keratinizing",,
8071,3,FALSE,"Carcinoma, large cell, squamous cell, keratinizing",,
8071,3,FALSE,"Carcinoma, squamous cell, keratinizing, NOS",,
8071,3,FALSE,"Carcinoma, squamous cell, large cell, keratinizing",,
8071,3,FALSE,"Epidermoid carcinoma, keratinizing",,
8071,3,FALSE,Keratinizing epidermoid carcinoma,,
8071,3,FALSE,"Keratinizing squamous cell carcinoma, large cell",,
8071,3,FALSE,"Keratinizing squamous cell carcinoma, NOS",,
8071,3,FALSE,Keratoacanthoma [2021+],,
8071,3,FALSE,"Large cell carcinoma, squamous cell, keratinizing",,
8071,3,FALSE,"Squamous cell carcinoma, large cell, keratinizing",,
8072,3,TRUE,"Squamous cell carcinoma, large cell, nonkeratinizing, NOS",,
8072,3,FALSE,"Carcinoma, epidermoid, large cell, nonkeratinizing",,
8072,3,FALSE,"Carcinoma, large cell epidermoid, nonkeratinizing",,
8072,3,FALSE,"Carcinoma, large cell, squamous cell, nonkeratinizing, NOS",,
8072,3,FALSE,"Carcinoma, squamous cell, large cell, nonkeratinizing, NOS",,
8072,3,FALSE,"Carcinoma, squamous cell, nonkeratinizing, NOS",,
8072,3,FALSE,"Epidermoid carcinoma, large cell, nonkeratinizing",,
8072,3,FALSE,"Large cell carcinoma, epidermoid, nonkeratinizing",,
8072,3,FALSE,"Large cell carcinoma, squamous cell, nonkeratinizing, NOS",,
8072,3,FALSE,"Nonkeratinizing epidermoid carcinoma, large cell",,
8072,3,FALSE,"Nonkeratinizing squamous cell carcinoma, large cell, NOS",,
8072,3,FALSE,"Nonkeratinizing squamous cell carcinoma, NOS",,
8072,3,FALSE,"Squamous cell carcinoma, nonkeratinizing, NOS",,
8073,3,TRUE,"Squamous cell carcinoma, small cell, nonkeratinizing",,
8073,3,FALSE,"Carcinoma, epidermoid, small cell, nonkeratinizing",,
8073,3,FALSE,"Carcinoma, small cell, squamous cell, nonkeratinizing",,
8073,3,FALSE,"Carcinoma, squamous cell, small cell, nonkeratinizing",,
8073,3,FALSE,"Epidermoid carcinoma, small cell, nonkeratinizing",,
8073,3,FALSE,"Nonkeratinizing epidermoid carcinoma, small cell",,
8073,3,FALSE,"Nonkeratinizing squamous cell carcinoma, small cell",,
8073,3,FALSE,"Small cell carcinoma, epidermoid, nonkeratinizing",,
8073,3,FALSE,"Small cell carcinoma, squamous cell, nonkeratinizing",,
8074,3,TRUE,"Squamous cell carcinoma, spindle cell",,
8074,3,FALSE,"Carcinoma, epidermoid, spindle cell",,
8074,3,FALSE,"Carcinoma, squamous cell, pseudovascular [2021+]",,
8074,3,FALSE,"Carcinoma, squamous cell, sarcomatoid",,
8074,3,FALSE,"Carcinoma, squamous cell, spindle cell",,
8074,3,FALSE,"Epidermoid carcinoma, spindle cell",,
8074,3,FALSE,Pseudovascular squamous cell carcinoma [2021+],,
8074,3,FALSE,"Sarcomatoid carcinoma, squamous cell",,
8074,3,FALSE,Sarcomatoid squamous cell carcinoma,,
8074,3,FALSE,Spindle cell epidermoid carcinoma,,
8074,3,FALSE,Spindle cell squamous cell carcinoma,,
8074,3,FALSE,"Squamous cell carcinoma, pseudovascular [2021+]",,
8074,3,FALSE,"Squamous cell carcinoma, sarcomatoid",,
8075,3,TRUE,"Squamous cell carcinoma, adenoid",,
8075,3,FALSE,Acantholytic squamous cell carcinoma,,
8075,3,FALSE,Adenoid squamous cell carcinoma,,
8075,3,FALSE,"Carcinoma, acantholytic squamous cell",,
8075,3,FALSE,"Carcinoma, adenoid squamous cell",,
8075,3,FALSE,"Carcinoma, pseudoglandular, squamous cell",,
8075,3,FALSE,"Carcinoma, squamous cell, acantholytic",,
8075,3,FALSE,"Carcinoma, squamous cell, adenoid",,
8075,3,FALSE,"Carcinoma, squamous cell, pseudoglandular",,
8075,3,FALSE,Pseudoglandular squamous cell carcinoma,,
8075,3,FALSE,"Squamous cell carcinoma, acantholytic",,
8075,3,FALSE,"Squamous cell carcinoma, pseudoglandular",,
8076,2,TRUE,Squamous cell carcinoma in situ with questionable stromal invasion,,
8076,2,FALSE,"Carcinoma in situ, epidermoid with questionable stromal invasion",,
8076,2,FALSE,"Carcinoma in situ, squamous cell with questionable stromal invasion",,
8076,2,FALSE,"Carcinoma, epidermoid in situ with questionable stromal invasion",,
8076,2,FALSE,"Carcinoma, squamous cell, in situ, with questionable stromal invasion",,
8076,2,FALSE,Epidermoid carcinoma in situ with questionable stromal invasion,,
8076,2,FALSE,"In situ carcinoma, epidermoid with questionable stromal invasion",,
8076,2,FALSE,"In situ carcinoma, squamous cell with questionable stromal invasion",,
8076,2,FALSE,In situ epidermoid carcinoma with questionable stromal invasion,,
8076,2,FALSE,In situ squamous cell carcinoma with questionable stromal invasion,,
8076,2,FALSE,"Questionable stromal invasion, epidermoid carcinoma insitu with",,
8076,2,FALSE,"Questionable stromal invasion, squamous cell carcinoma in situ with",,
8076,3,TRUE,"Squamous cell carcinoma, microinvasive",,
8076,3,FALSE,"Carcinoma, microinvasive squamous cell",,
8076,3,FALSE,"Carcinoma, squamous cell, microinvasive",,
8076,3,FALSE,Microinvasive squamous cell carcinoma,,
8077,2,TRUE,"Squamous intraepithelial neoplasia, grade III [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,AIN III (C21.1) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES],,
8077,2,FALSE,"Anal intraepithelial neoplasia, grade III (C21.1) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"Cervical intraepithelial neoplasia, grade III (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,CIN III with severe dysplasia (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES],,
8077,2,FALSE,"CIN III, NOS (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"Dysplasia, CIN III with severe (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"Dysplasia, squamous, high grade [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,Grade III anal intraepithelial neoplasia (C21.1) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES],,
8077,2,FALSE,Grade III cervical intraepithelial neoplasia (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES],,
8077,2,FALSE,Grade III squamous intraepithelial neoplasia [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES],,
8077,2,FALSE,Grade III vaginal intraepithelial neoplasia (C52._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES],,
8077,2,FALSE,Grade III vulvar intraepithelial neoplasia (C51._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES],,
8077,2,FALSE,"High grade squamous dysplasia [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"High grade squamous intraepithelial lesion [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"Intraepithelial neoplasia, grade II, squamous [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"Intraepithelial neoplasia, grade III, anal (C21.1) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"Intraepithelial neoplasia, grade III, cervical (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"Intraepithelial neoplasia, grade III, squamous [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"Intraepithelial neoplasia, grade III, vaginal (C52._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"Intraepithelial neoplasia, grade III, vulvar (C51._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"Neoplasia, anal intraepithelial, grade III (C21.1) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"Neoplasia, cervical intraepithelial, grade III (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"Neoplasia, squamous intraepithelial, grade II [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"Neoplasia, squamous intraepithelial, grade III [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"Neoplasia, vaginal intraepithelial, grade III (C52._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"Neoplasia, vulvar intraepithelial, grade III (C51._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]",,
8077,2,FALSE,"Severe dysplasia, CIN III with (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES] ",,
